frame_index,timestamp (ms),is_change,delta (ms)
384,6400.0000,1,33.3333
385,6416.6667,0,0.0000
386,6433.3333,1,33.3333
387,6450.0000,0,0.0000
388,6466.6667,1,33.3333
389,6483.3333,0,0.0000
390,6500.0000,1,33.3333
391,6516.6667,0,0.0000
392,6533.3333,1,33.3333
393,6550.0000,0,0.0000
394,6566.6667,1,33.3333
395,6583.3333,0,0.0000
396,6600.0000,1,33.3333
397,6616.6667,0,0.0000
398,6633.3333,1,33.3333
399,6650.0000,0,0.0000
400,6666.6667,1,33.3333
401,6683.3333,0,0.0000
402,6700.0000,1,33.3333
403,6716.6667,0,0.0000
404,6733.3333,1,33.3333
405,6750.0000,0,0.0000
406,6766.6667,1,33.3333
407,6783.3333,0,0.0000
408,6800.0000,1,33.3333
409,6816.6667,0,0.0000
410,6833.3333,1,33.3333
411,6850.0000,0,0.0000
412,6866.6667,1,33.3333
413,6883.3333,0,0.0000
414,6900.0000,1,33.3333
415,6916.6667,0,0.0000
416,6933.3333,1,33.3333
417,6950.0000,0,0.0000
418,6966.6667,1,33.3333
419,6983.3333,0,0.0000
420,7000.0000,1,33.3333
421,7016.6667,0,0.0000
422,7033.3333,1,33.3333
423,7050.0000,0,0.0000
424,7066.6667,1,33.3333
425,7083.3333,0,0.0000
426,7100.0000,1,33.3333
427,7116.6667,0,0.0000
428,7133.3333,1,33.3333
429,7150.0000,0,0.0000
430,7166.6667,1,33.3333
431,7183.3333,0,0.0000
432,7200.0000,1,33.3333
433,7216.6667,0,0.0000
434,7233.3333,1,33.3333
435,7250.0000,0,0.0000
436,7266.6667,1,33.3333
437,7283.3333,0,0.0000
438,7300.0000,1,33.3333
439,7316.6667,0,0.0000
440,7333.3333,1,33.3333
441,7350.0000,0,0.0000
442,7366.6667,1,33.3333
443,7383.3333,0,0.0000
444,7400.0000,1,33.3333
445,7416.6667,0,0.0000
446,7433.3333,1,33.3333
447,7450.0000,0,0.0000
448,7466.6667,1,33.3333
449,7483.3333,0,0.0000
450,7500.0000,1,33.3333
451,7516.6667,0,0.0000
452,7533.3333,1,33.3333
453,7550.0000,0,0.0000
454,7566.6667,1,33.3333
455,7583.3333,0,0.0000
456,7600.0000,1,33.3333
457,7616.6667,0,0.0000
458,7633.3333,1,33.3333
459,7650.0000,0,0.0000
460,7666.6667,1,33.3333
461,7683.3333,0,0.0000
462,7700.0000,1,33.3333
463,7716.6667,0,0.0000
464,7733.3333,1,33.3333
465,7750.0000,0,0.0000
466,7766.6667,1,33.3333
467,7783.3333,0,0.0000
468,7800.0000,1,33.3333
469,7816.6667,0,0.0000
470,7833.3333,1,33.3333
471,7850.0000,0,0.0000
472,7866.6667,1,33.3333
473,7883.3333,0,0.0000
474,7900.0000,1,33.3333
475,7916.6667,0,0.0000
476,7933.3333,1,33.3333
477,7950.0000,0,0.0000
478,7966.6667,1,33.3333
479,7983.3333,0,0.0000
480,8000.0000,1,33.3333
481,8016.6667,0,0.0000
482,8033.3333,1,33.3333
483,8050.0000,0,0.0000
484,8066.6667,1,33.3333
485,8083.3333,0,0.0000
486,8100.0000,1,33.3333
487,8116.6667,0,0.0000
488,8133.3333,1,33.3333
489,8150.0000,0,0.0000
490,8166.6667,1,33.3333
491,8183.3333,0,0.0000
492,8200.0000,1,33.3333
493,8216.6667,0,0.0000
494,8233.3333,1,33.3333
495,8250.0000,0,0.0000
496,8266.6667,1,33.3333
497,8283.3333,0,0.0000
498,8300.0000,1,33.3333
499,8316.6667,0,0.0000
500,8333.3333,1,33.3333
501,8350.0000,0,0.0000
502,8366.6667,1,33.3333
503,8383.3333,0,0.0000
504,8400.0000,1,33.3333
505,8416.6667,0,0.0000
506,8433.3333,1,33.3333
507,8450.0000,0,0.0000
508,8466.6667,1,33.3333
509,8483.3333,0,0.0000
510,8500.0000,1,33.3333
511,8516.6667,0,0.0000
512,8533.3333,1,33.3333
513,8550.0000,0,0.0000
514,8566.6667,1,33.3333
515,8583.3333,0,0.0000
516,8600.0000,1,33.3333
517,8616.6667,0,0.0000
518,8633.3333,1,33.3333
519,8650.0000,0,0.0000
520,8666.6667,1,33.3333
521,8683.3333,0,0.0000
522,8700.0000,1,33.3333
523,8716.6667,0,0.0000
524,8733.3333,1,33.3333
525,8750.0000,0,0.0000
526,8766.6667,1,33.3333
527,8783.3333,0,0.0000
528,8800.0000,1,33.3333
529,8816.6667,0,0.0000
530,8833.3333,1,33.3333
531,8850.0000,0,0.0000
532,8866.6667,1,33.3333
533,8883.3333,0,0.0000
534,8900.0000,1,33.3333
535,8916.6667,0,0.0000
536,8933.3333,1,33.3333
537,8950.0000,0,0.0000
538,8966.6667,1,33.3333
539,8983.3333,0,0.0000
540,9000.0000,1,33.3333
541,9016.6667,0,0.0000
542,9033.3333,1,33.3333
