Frame,Time (ms),Changed,DeltaMS
149,2483.3333333333335,False,0.0
150,2500.0,True,16.666666666666515
151,2516.6666666666665,True,16.666666666666515
152,2533.3333333333335,True,16.66666666666697
153,2550.0000000000005,False,0.0
154,2566.666666666667,True,16.666666666666515
155,2583.3333333333335,True,16.666666666666515
156,2600.0,True,16.666666666666515
157,2616.6666666666665,True,16.666666666666515
158,2633.3333333333335,False,0.0
159,2650.0,True,16.666666666666515
160,2666.666666666667,True,16.66666666666697
161,2683.3333333333335,True,16.666666666666515
162,2700.0,False,0.0
163,2716.666666666667,True,16.66666666666697
164,2733.3333333333335,True,16.666666666666515
165,2750.0,True,16.666666666666515
166,2766.6666666666665,True,16.666666666666515
167,2783.3333333333335,False,0.0
168,2800.0000000000005,True,16.66666666666697
169,2816.666666666667,True,16.666666666666515
